Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
13-я линия,,1,,,47.22811,39.75884,"422373,852844961","2207378,01096775"
13-я линия,,1,,,47.22792,39.75811,"422353,597779037","2207322,3960973"
13-я линия,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1","98, 80",47.22966,39.75804,"422547,122672904","2207320,13283216"
13-я линия,,,,55,47.2265,39.75871,"422195,018290852","2207365,35671281"
14-я линия,"98, 80, 70, 67, 7",,"22, 9, 2, 1",,47.22959,39.75697,"422540,613622106","2207238,98137838"
14-я линия,,,,"98, 80",47.23133,39.75666,"422734,424360265","2207218,54700233"
14-я линия,,,5,"93, 88, 67, 59, 52, 40, 29",47.23953,39.75208,"423651,509961878","2206886,11060041"
14-я линия,,,5,"88, 67, 59, 52, 40, 29",47.23936,39.75205,"423632,646311685","2206883,54087071"
"14-я линия, Ченцова",,"10, 4",,,47.2371,39.75426,"423378,755429363","2207046,91100076"
"14-я линия, Ченцова",,"10, 4",,,47.23623,39.75412,"423282,201508694","2207034,78654837"
"14-я линия, Шолохова",,"10, 4",,,47.2393,39.75328,"423624,506705803","2206976,56431304"
"14-я линия, Шолохова",,"10, 4",,,47.23995,39.75298,"423697,127714794","2206954,98971725"
19-я линия,"80, 70, 68, 54",,"22, 2","80, 66",47.22833,39.76286,"422393,541024486","2207682,82966646"
19-я линия,,,,55,47.2273,39.76295,"422278,925855843","2207687,85432228"
"1-й Конной Армии, 36",,,,40,47.25924,39.77091,"425820,414845365","2208345,86898956"
1-й Машиностроительный,,,,71,47.25414,39.61361,"425450,532466614","2196430,5263352"
1-й переулок,"80, 70, 54",,22,"66, 55, 53, 80",47.23443,39.79511,"423034,000755192","2210135,45370831"
1-й переулок,68,,,,47.23243,39.79316,"422813,904390694","2209984,4049123"
1-я Кумженская,57,,,,47.1763,39.56756,"416859,115956258","2192787,87340659"
1-я Кумженская,57,,,,47.17638,39.5673,"416868,367066436","2192768,32571626"
1-я линия,,1,,,47.22689,39.75244,"422245,847729691","2206891,19693239"
1-я линия,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1","98, 80",47.22856,39.75216,"422431,841737296","2206872,9215532"
20-я линия,,,5,"93, 88, 67, 59, 52, 40, 29",47.24094,39.75833,"423800,814699294","2207361,78526954"
20-я линия,,,5,"93, 88, 67, 59, 52, 40, 29",47.24076,39.75694,"423782,457050367","2207256,23086299"
23-я линия,,,2,,47.22454,39.76703,"421967,262682307","2207992,05587841"
23-я линия,"80, 70, 68, 54",,22,"80, 66, 55",47.22788,39.76643,"422339,290149464","2207952,40575071"
23-я линия,,,,55,47.22794,39.76617,"422346,267681317","2207932,81982244"
26-я линия,,1,,,47.23773,39.7633,"423438,050373965","2207732,49310544"
28-я линия,,1,,,47.23333,39.76646,"422945,149856749","2207964,12776056"
29-я линия,,,2,,47.22528,39.77094,"422044,922336366","2208289,45989695"
29-я линия,"80, 70, 68, 54",,22,"80, 66, 55",47.22859,39.77018,"422413,800797779","2208237,6232531"
29-я линия,"80, 70, 54",,"22, 2","80, 66",47.2302,39.76944,"422593,661599003","2208184,36805208"
29-я линия,,,,55,47.22869,39.77025,"422424,835714754","2208243,0971835"
2-й переулок,9,,,"93, 25, 23, 12",47.23036,39.68386,"422715,835292935","2201703,92002946"
