field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descriptio_2,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop
1158,1,"492,321661937672",Центральный рынок,"99, 92a, 77, 46, 1",NA,NA,NA,47.21824,39.71289,421332.21095,2203880.33719,5,0,0,0,5,60,Старый центр,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193
1096,1,"187,570299705484",ул. Темерницкая,"92a, 77, 65, 46, 1",NA,6,"92, 83, 65",47.22014,39.71877,421536.20565,2204329.13693,5,0,1,3,9,50,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895
554,1,"168,13368313904",пл. Советов,"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1",NA,6,NA,47.22181,39.71910,421721.45971,2204357.13962,14,0,1,0,15,25,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895
863,1,"397,7006945924",ул. Б. Садовая,"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65",NA,6,"45, 49, 65, 77, 83, 92",47.22320,39.71823,421877.05829,2204293.75187,13,0,1,6,20,41,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895
980,1,"333,599433162916",ул. М. Горького,"65, 1, 5, 22, 33, 42, 42а, 45, 49, 77, 83, 92a, 46",NA,6,"92, 45, 49, 65, 77, 83",47.22783,39.71625,422394.22327,2204152.15088,13,0,1,6,20,46,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895
967,1,"246,244647204803",ул. Лермонтовская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"47, 49, 65, 77, 83, 92",47.23170,39.71487,422826.16182,2204054.63739,14,0,1,6,21,45,ЦГБ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1155,1,"498,725637373487",ЦГБ,"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49",NA,6,"45, 49, 65, 77, 83, 92",47.23437,39.71341,423124.79306,2203948.91037,13,0,1,6,20,58,ЦГБ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
375,1,"730,945363576955",Общежитие РИСИ,"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33",NA,6,"47, 49, 65, 77, 83, 92, 25",47.23933,39.71357,423676.01576,2203970.00098,14,0,1,7,22,13,Нансена центр,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1105,1,"286,451146825411",ул. Турмалиновская,"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65",NA,6,"25, 45, 49, 65, 77, 83, 92",47.24611,39.71290,424430.59783,2203931.54857,13,0,1,7,21,52,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
544,1,"351,516015110037",пл. Ленина,"99, 96, 58, 35а, 35, 17, 1",NA,NA,"96, 58, 56, 49, 14",47.24969,39.71180,424829.95613,2203854.76175,7,0,0,5,12,24,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
392,1,"470,558965076249",пер. Ашхабадский,"94, 49, 42а, 42, 17, 5, 1",NA,NA,"14, 94, 58, 56, 49",47.24956,39.70573,424823.01241,2203395.02901,7,0,0,5,12,18,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
397,1,"383,32902805303",пер. Боевой,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",NA,NA,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25298,39.70207,425207.77097,2203124.21425,10,0,0,13,23,19,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1192,1,"134,21090875293",Школа,"94, 49, 42а, 42, 17, 5, 1",NA,NA,"94, 58, 56, 49, 14",47.24971,39.70048,424846.21177,2202997.87999,7,0,0,5,12,61,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
