"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"1158";"1";492,321661937672;"Центральный рынок";"99, 92a, 77, 46, 1";NA;NA;NA;47,21824;39,71289;421332,21094577;2203880,33719286;5;0;0;0;5;60
"1096";"1";187,570299705484;"ул. Темерницкая";"92a, 77, 65, 46, 1";NA;"6";"92, 83, 65";47,22014;39,71877;421536,205649529;2204329,13692748;5;0;1;3;9;50
"554";"1";168,13368313904;"пл. Советов";"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1";NA;"6";NA;47,22181;39,7191;421721,459709701;2204357,13961722;14;0;1;0;15;25
"863";"1";397,7006945924;"ул. Б. Садовая";"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65";NA;"6";"45, 49, 65, 77, 83, 92";47,2232;39,71823;421877,058286447;2204293,75186761;13;0;1;6;20;41
"980";"1";333,599433162916;"ул. М. Горького";"65, 1, 5, 22, 33, 42, 42а, 45, 49, 77, 83, 92a, 46";NA;"6";"92, 45, 49, 65, 77, 83";47,22783;39,71625;422394,223266584;2204152,15088089;13;0;1;6;20;46
"967";"1";246,244647204803;"ул. Лермонтовская";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"47, 49, 65, 77, 83, 92";47,2317;39,71487;422826,161816403;2204054,63739031;14;0;1;6;21;45
"1155";"1";498,725637373487;"ЦГБ";"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49";NA;"6";"45, 49, 65, 77, 83, 92";47,23437;39,71341;423124,793064653;2203948,91037132;13;0;1;6;20;58
"375";"1";730,945363576955;"Общежитие РИСИ";"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33";NA;"6";"47, 49, 65, 77, 83, 92, 25";47,23933;39,71357;423676,015756019;2203970,0009786;14;0;1;7;22;13
"1105";"1";286,451146825411;"ул. Турмалиновская";"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65";NA;"6";"25, 45, 49, 65, 77, 83, 92";47,24611;39,7129;424430,597831553;2203931,54856572;13;0;1;7;21;52
"544";"1";351,516015110037;"пл. Ленина";"99, 96, 58, 35а, 35, 17, 1";NA;NA;"96, 58, 56, 49, 14";47,24969;39,7118;424829,956125058;2203854,76174867;7;0;0;5;12;24
"392";"1";470,558965076249;"пер. Ашхабадский";"94, 49, 42а, 42, 17, 5, 1";NA;NA;"14, 94, 58, 56, 49";47,24956;39,70573;424823,012411506;2203395,02901438;7;0;0;5;12;18
"397";"1";383,32902805303;"пер. Боевой";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,25298;39,70207;425207,770966412;2203124,21424798;10;0;0;13;23;19
"1192";"1";134,21090875293;"Школа";"94, 49, 42а, 42, 17, 5, 1";NA;NA;"94, 58, 56, 49, 14";47,24971;39,70048;424846,211766004;2202997,87999039;7;0;0;5;12;61
"692";"1";214,171488984112;"РГУПС";"94, 49, 1";NA;NA;"56";47,24981;39,69871;424859,534441866;2202864,07506176;3;0;0;1;4;27
"691";"1";356,440015255937;"РГУПС";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,2517;39,69818;425070,313434057;2202827,41664868;10;0;0;13;23;26
"1112";"1";427,950820503521;"ул. Цезаря Куникова";"99, 94, 78, 49, 27, 1";NA;NA;"99, 94, 78, 49, 44, 43, 23, 14, 11";47,25344;39,69422;425268,702444052;2202530,85542794;6;0;0;9;15;54
"1113";"1";638,917110975939;"ул. Цезаря Куникова";"49, 27, 1, 99, 96, 83";NA;NA;"99, 96, 78, 49, 44, 43, 23, 14, 11";47,25673;39,69715;425630,802049395;2202758,6713132;6;0;0;9;15;55
"509";"1";392,038943150679;"пл. 2-й Пятилетки";"99, 94, 78, 49, 27, 1";NA;NA;"99, 94, 78, 49, 44, 43, 23, 14, 11";47,25977;39,68942;425978,448344487;2202179,19950327;6;0;0;9;15;21
"955";"1";147,35404363861;"ул. Куликовская";"99, 96, 83, 49, 1";NA;NA;"99, 96, 78, 49, 44, 43, 14, 11";47,26192;39,68531;426222,641308879;2201872,11240608;5;0;0;8;13;43
"878";"1";481,168245737643;"ул. Вавилова";"99, 96, 94, 49, 1";NA;NA;"14, 99, 96, 94, 49, 43";47,26189;39,68336;426221,764489419;2201724,47688046;5;0;0;6;11;42
"120";"1";569,126268751387;"Баня";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26612;39,68205;426693,683111261;2201633,18113114;5;0;0;6;11;1
"503";"1";489,477196577076;"пер. Чалтырский";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26441;39,67495;426512,567158281;2201092,69158566;5;0;0;6;11;20
"194";"1";553,370817638763;"Госпиталь";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26003;39,67552;426024,902686391;2201127,66172593;5;0;0;6;11;2
"387";"1";67,6216892021696;"пер. Авиамоторный";"94, 49, 1, 99, 96";NA;NA;"99, 96, 94, 49, 43, 14";47,26321;39,66989;426385,596386402;2200707,51159655;5;0;0;6;11;16
"1074";"1";300,622857190435;"ул. Северо-Кавказская";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26266;39,66951;426324,935319438;2200677,72293574;5;0;0;6;11;49
"281";"1";264,083070570784;"Кафе ""Полет""";"10, 1";NA;NA;"43, 10";47,26437;39,66643;426518,974259687;2200447,83625226;2;0;0;2;4;7
"1154";"1";360,088277762698;"Хоз. магазин";"10, 1";NA;NA;"43, 10";47,26695;39,66584;426806,556739213;2200408,03227732;2;0;0;2;4;57
"1097";"1";33,6111996125403;"ул. Тимошенко";"10, 1";NA;NA;"43, 10";47,27014;39,66505;427162,211555489;2200354,24522656;2;0;0;2;4;51
"1032";"1";416,582163302428;"ул. Оганова, 23";"10, 1";NA;NA;"43, 14, 10";47,27038;39,66478;427189,238746231;2200334,26547759;2;0;0;3;5;48
"771";"1";411,5947872588;"Сады СКВО";"10, 1";NA;NA;"43, 10";47,27481;39,66431;427682,340493416;2200307,03263437;2;0;0;2;4;37
"202";"1";476,779919268489;"ГСК «Авиатор»";"10, 1";NA;NA;"43, 10";47,27864;39,66358;428109,071393296;2200259,00621173;2;0;0;2;4;4
