"№ п\п";"Регистрационный
номер маршрута
регулярных перевозок";"Порядковый номер
маршрута регулярных
перевозок, который
присвоен ему
организатором перевозок";"Наименование маршрута
регулярных перевозок
в виде наименования
начального остановочного
пункта и конечного
остановочного пункта
по маршруту регулярных
перевозок или в
виде наименований
поселений, в
границах которых
расположены начаный
остановочный пункт
и конечный остановочный
пункт по данному маршруту";"Наименования промежуточных
остановочных пунктов
по маршруту регулярных
перевозок или наименования
поселений, в границах
которых расположены
промежуточные остановочные
пункты";"Наименования улиц,
автомобильных дорог,
по которым предполагается
движение транспортных
средств между
остановочными пунктами
по маршруту регулярных
перевозок";"Протяженность маршрута
регулярных перевозок";"Порядок посадки и
высадки пассажиров(только
в установленных остановочных
пункта или если это
не запрещено действующим
законодательством, в
любом не запрещенном правилами
дорожного движения месте
по маршруту регулярных
перевозок)";"Вид регулярных
перевозок";"Виды транспортных средств";"Классы транспортных средств";"Максимальное количество
транспортных средств каждого класса";"Экологические
характеристики
транспортных средств,
которые используются
для перевозок по маршруту
регулярных перевозок";"Дата начала
осуществления регулярных
перевозок";"Наименование юридического
лица, фамилия, имя и,
если имеется, отчество
индивидуального предпринимателя
(в том числе участников
договора простого товарищества)";"Местонахождение
юридического лица"
"1";"1";"282";"г. Азов – г. Батайск ";"х. Новоалександровка,
с. Кулешовка,
п. Овощной,
п. Койсуг";"автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ул. Грузинская,
г. Батайск, ул. М.Горького";"30.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"не ниже Euro-4";"15.05.2018";"ООО Транспортная компания «Газель»";"346780, Ростовская область, г. Азов, ул. Ульянова, 15-а"
"2";"2";"620";"г. Азов – х. Обуховка";"г. Азов, автовокзал,
х. Новоалександровка,
с. Кулешовка,
п. Овощной,
п. Койсуг,
г. Ростов-на-Дону";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Кумженская,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Колузаево, ул. Степная,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Городище, ул. Придорожная,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Обуховка, ул. Ленина";"52.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Евро-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"3";"3";"215/2";"г. Азов – г. Ростов-на-Дону (Привокзальная площадь) – г. Азов";"с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"";"10.12.2015";"- не определен";"-"
"4";"4";"217";"г. Азов – г. Ростов-на-Дону (Аэропорт) ";"с. Кулешовка,
г. Ростов-на-Дону, пр-кт. Шолохова";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский";"53.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"3";"не ниже Euro-3";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"5";"5";"216";"г. Азов – г. Ростов-на-Дону (Западный) – г. Азов (через с. Новоалександровка, с. Кулешовка, п. Овощной, ост. «ГПЗ-10», «пл. Плевена», «Фортуна»)";"х. Новоалександровка,
с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, пр-кт. Коммунистический,
г. Ростов-на-Дону, ул. Зорге,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Доватора";"49.3";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"10";"не ниже Euro-3";"27.02.2015";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"6";"6";"216";"г. Азов – г. Ростов-на-Дону (Западный) ";"х. Новоалександровка,
с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, пр-кт. Коммунистический,
г. Ростов-на-Дону, ул. Зорге,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Доватора";"49.3";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"не ниже Euro-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"7";"7";"215/1";"г. Азов – г. Ростов-на-Дону";"х. Новоалександровка,
п. Овощной";"г. Азов, пер. Панфилова,
г. Азов, ул. Кирова,
г. Азов, пер. Черноморский,
г. Азов, ул. Инзенская,
г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"20";"не ниже Euro-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"8";"8";"215/1";"г. Азов – г. Ростов-на-Дону ";"х. Новоалександровка,
п. Овощной";"г. Азов, пер. Панфилова,
г. Азов, ул. Кирова,
г. Азов, пер. Черноморский,
г. Азов, ул. Инзенская,
г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"15";"не ниже Euro-3";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"9";"9";"215/2";"г. Азов – г. Ростов-на-Дону (Привокзальная площадь) – г. Азов";"с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"15";"не ниже Euro-4";"22.04.2015";"ООО Транспортная компания «Газель»";"346780, Ростовская область, г. Азов, ул. Ульянова, 15-а"
"10";"10";"510";"г. Аксай – г. Батайск ";"п. Дивный,
п. Островский,
х. Луговой,
х. Ленина";"г. Аксай, ул. Западная,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-4.1,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Батайск, ул. Промышленная,
г. Батайск, ул. Энгельса,
г. Батайск, ул. Кирова";"37.2";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"2";"Euro не установлено";"15.05.2018";"ООО «ДОН-Авто»";"346711, Ростовская область, г. Аксай, ул. Менделеева, 11а"
