object_name;bus;tram;trolleybus;shuttle_bus;latitude_1;longitude_1;latitude_2;longitude_2
13-я линия;;1;;;47.22811;39.75884;422373,8528;2207378,011
13-я линия;;1;;;47.22792;39.75811;422353,5978;2207322,396
13-я линия;98, 80, 70, 67, 7, 3а, 3;;22, 9, 2, 1;98, 80;47.22966;39.75804;422547,1227;2207320,133
13-я линия;;;;55;47.2265;39.75871;422195,0183;2207365,357
14-я линия;98, 80, 70, 67, 7;;22, 9, 2, 1;;47.22959;39.75697;422540,6136;2207238,981
14-я линия;;;;98, 80;47.23133;39.75666;422734,4244;2207218,547
14-я линия;;;5;93, 88, 67, 59, 52, 40, 29;47.23953;39.75208;423651,51;2206886,111
14-я линия;;;5;88, 67, 59, 52, 40, 29;47.23936;39.75205;423632,6463;2206883,541
14-я линия, Ченцова;;10, 4;;;47.2371;39.75426;423378,7554;2207046,911
14-я линия, Ченцова;;10, 4;;;47.23623;39.75412;423282,2015;2207034,787
14-я линия, Шолохова;;10, 4;;;47.2393;39.75328;423624,5067;2206976,564
14-я линия, Шолохова;;10, 4;;;47.23995;39.75298;423697,1277;2206954,99
19-я линия;80, 70, 68, 54;;22, 2;80, 66;47.22833;39.76286;422393,541;2207682,83
19-я линия;;;;55;47.2273;39.76295;422278,9259;2207687,854
1-й Конной Армии, 36;;;;40;47.25924;39.77091;425820,4148;2208345,869
1-й Машиностроительный;;;;71;47.25414;39.61361;425450,5325;2196430,526
1-й переулок;80, 70, 54;;22;66, 55, 53, 80;47.23443;39.79511;423034,0008;2210135,454
1-й переулок;68;;;;47.23243;39.79316;422813,9044;2209984,405
1-я Кумженская;57;;;;47.1763;39.56756;416859,116;2192787,873
1-я Кумженская;57;;;;47.17638;39.5673;416868,3671;2192768,326
1-я линия;;1;;;47.22689;39.75244;422245,8477;2206891,197
1-я линия;98, 80, 70, 67, 7, 3а, 3;;22, 9, 2, 1;98, 80;47.22856;39.75216;422431,8417;2206872,922
20-я линия;;;5;93, 88, 67, 59, 52, 40, 29;47.24094;39.75833;423800,8147;2207361,785
20-я линия;;;5;93, 88, 67, 59, 52, 40, 29;47.24076;39.75694;423782,4571;2207256,231
23-я линия;;;2;;47.22454;39.76703;421967,2627;2207992,056
23-я линия;80, 70, 68, 54;;22;80, 66, 55;47.22788;39.76643;422339,2901;2207952,406
23-я линия;;;;55;47.22794;39.76617;422346,2677;2207932,82
26-я линия;;1;;;47.23773;39.7633;423438,0504;2207732,493
28-я линия;;1;;;47.23333;39.76646;422945,1499;2207964,128
29-я линия;;;2;;47.22528;39.77094;422044,9223;2208289,46
29-я линия;80, 70, 68, 54;;22;80, 66, 55;47.22859;39.77018;422413,8008;2208237,623
29-я линия;80, 70, 54;;22, 2;80, 66;47.2302;39.76944;422593,6616;2208184,368
29-я линия;;;;55;47.22869;39.77025;422424,8357;2208243,097
2-й переулок;9;;;93, 25, 23, 12;47.23036;39.68386;422715,8353;2201703,92
2-я Кумженская;57;;;;47.17474;39.55899;416697,5022;2192135,072
2-я Кумженская;57;;;;47.17493;39.5591;416718,4727;2192143,796
2-я линия;98, 80, 70, 67, 7;;22, 9, 2, 1;;47.22881;39.75286;422458,7988;2206926,371
2-я линия;3а, 3;;;98, 80;47.23015;39.7506;422610,4727;2206757,576
2-я линия;;;5;93, 88, 67, 59, 52, 40, 29;47.23828;39.74778;423517,6907;2206558,339
2-я линия;;;5;93, 88, 67, 59, 52, 40, 29;47.23825;39.74687;423515,4472;2206489,385
30-я линия;68;;;53;47.23357;39.76851;422969,4123;2208119,775
30-я линия;;;;53, 24;47.23335;39.76763;422945,9921;2208052,758
35-я линия;;;2;;47.22817;39.77422;422362,3588;2208542,848
