"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"883";"1";219,439791351525;"ул. Веры Пановой";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25659;39,76745;425529,881096494;2208079,40203906;6;0;2;7;15;34
"1078";"1";182,441160032615;"ул. Сержантова";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25463;39,76776;425311,614499645;2208099,46955969;4;0;2;7;13;35
"779";"1";309,464543680213;"Сельмаш";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25445;39,76536;425294,437438249;2207917,49482293;6;0;2;7;15;32
"842";"1";150,66952800755;"ул. 1-й Конной Армии";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25169;39,76487;424988,177001063;2207875,6115872;4;0;2;7;13;33
"209";"1";815,052098999723;"ДК ""Ростсельмаш""";"98, 67, 54, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,2505;39,76392;424857,004075839;2207801,63123642;5;0;2;7;14;7
"671";"1";289,613222819833;"Пригородный автовокзал";"3, 54, 67, 98, 3а, 7";NA;"1, 5, 9";"67, 19, 24, 29, 40, 52, 66, 79, 88, 93, 95, 59";47,24322;39,76507;424046,299013725;2207876,0434749;6;0;3;12;21;29
"670";"1";334,602914210588;"Пригородный автовокзал";"3а, 7, 54, 67, 98, 3";NA;"9, 1, 5";"59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40";47,24182;39,76184;423894,480193367;2207629,06665746;6;0;3;12;21;28
"666";"1";335,945225048983;"пр. Шолохова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"66, 24, 19, 95, 79";47,23995;39,75808;423691,050129106;2207341,12852687;6;0;2;5;13;26
"1116";"1";553,579968165415;"ул. Ченцова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"95, 79, 66, 24, 19";47,23631;39,75959;423284,58385028;2207449,10787873;6;0;2;5;13;36
"532";"1";352,868398784235;"пл. К. Маркса";"98, 67, 7, 3а, 3";NA;"9, 1";"95, 79, 19";47,23136;39,76198;422731,439231257;2207621,46038836;5;0;2;3;10;15
"3";"1";81,2588047898321;"13-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22966;39,75804;422547,122672904;2207320,13283216;7;0;4;2;13;1
"5";"1";322,594091587437;"14-я линия";"98, 80, 70, 67, 7";NA;"22, 9, 2, 1";NA;47,22959;39,75697;422540,613622106;2207238,98137838;5;0;4;0;9;2
"37";"1";59,7879205178396;"2-я линия";"98, 80, 70, 67, 7";NA;"22, 9, 2, 1";NA;47,22881;39,75286;422458,798816807;2206926,37067679;5;0;4;0;9;4
"22";"1";352,211429780154;"1-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22856;39,75216;422431,841737296;2206872,9215532;7;0;4;2;13;3
"559";"1";288,989588275828;"пл. Театральная";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80, 55";47,22774;39,74766;422346,066906287;2206530,69409318;7;0;4;3;14;17
"560";"1";365,467522141179;"пл. Театральная";"80, 70, 67, 7, 3а, 3, 98";NA;"22, 9, 2, 1";"98, 80";47,22764;39,74384;422339,538220136;2206241,2255552;7;0;4;2;13;18
"448";"1";173,784062666315;"пер. Нахичеванский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22663;39,73924;422232,797609248;2205891,07256008;7;0;4;0;11;11
"433";"1";403,019116391576;"пер. Крепостной";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22631;39,73699;422199,941587269;2205720,10631183;7;0;4;0;11;10
"632";"1";301,309381602775;"пр. Кировский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22515;39,73194;422077,102132302;2205335,58695651;7;0;4;0;11;23
"493";"1";285,271945633852;"пер. Университетский";"3, 98, 80, 70, 67, 7, 3а";NA;"22, 9, 2, 1";NA;47,22445;39,72809;422003,964414686;2205042,75709963;7;0;4;0;11;14
"663";"1";296,754955173934;"пр. Чехова";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22351;39,72352;421905,039724087;2204694,95853671;7;0;4;0;11;25
"624";"1";187,538324615106;"пр. Ворошиловский";NA;NA;"22, 9, 2, 1";NA;47,22262;39,71982;421810,626669663;2204413,13002973;0;0;4;0;4;21
"625";"1";291,123399580576;"пр. Ворошиловский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22225;39,7174;421772,463353477;2204229,17646834;8;0;4;0;12;22
"478";"1";402,059801230814;"пер. Семашко";"3, 98, 80, 70, 67, 33, 7, 3а";NA;"22, 9, 2, 1";NA;47,22146;39,71369;421689,201964836;2203946,75713121;8;0;4;0;12;12
"616";"1";191,728084641497;"пр. Буденновский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22023;39,70869;421558,633023869;2203565,82474383;7;0;4;0;11;19
"617";"1";393,398634049772;"пр. Буденновский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21984;39,70622;421518,334420981;2203378,03367013;8;0;4;0;12;20
"401";"1";356,369686669254;"пер. Братский";"98, 80, 75, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21846;39,69954;421373,217962726;2202869,55290041;9;0;4;0;13;9
"673";"1";227,491312577056;"Пригородный ЖДВ";"3а, 7, 31, 33, 39, 70, 80, 3";NA;"22, 1, 2, 9";"55, 20, 38, 52, 58, 59, 67, 78, 90, 98, 99, 40";47,21788;39,69462;421314,880215892;2202495,82763464;8;0;4;12;24;31
"182";"1";175,126685758945;"Главный автовокзал";"33, 3";NA;"22, 9, 1";"78, 20";47,21979;39,69355;421528,559575994;2202418,29033115;2;0;3;2;7;5
"185";"1";NA;"Главный ЖДВ";NA;NA;"22, 9, 5, 1";NA;47,22068;39,69164;421629,896454274;2202275,26079839;0;0;4;0;4;6
"32";"2";291,377138754789;"29-я линия";"80, 70, 54";NA;"22, 2";"80, 66";47,2302;39,76944;422593,661599003;2208184,36805208;3;0;2;2;7;7
