"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"197";"4";538,643727296175;"ГПЗ-10";"4";NA;NA;"56, 34, 25, 23, 8, 4";47,1996;39,61269;419388,389494389;2196254,37363691;1;0;0;6;7;2
"945";"4";308,597617154146;"ул. Каширская";"4";NA;"8";"73, 4";47,19887;39,61973;419297,891174057;2196786,38141126;1;0;1;2;4;31
"461";"4";300,547622416581;"пер. Пржевальского";"4";NA;"8";"73, 4";47,19887;39,62381;419292,498781081;2197095,53002133;1;0;1;2;4;14
"178";"4";317,350709953577;"Гипсовый завод";"4";NA;"8";"73, 4";47,19647;39,62563;419023,28493924;2197228,79389163;1;0;1;2;4;1
"952";"4";299,798683250619;"ул. Кузнечная";"4";NA;"8";"73, 4";47,19362;39,62553;418706,575696903;2197215,7054123;1;0;1;2;4;34
"1131";"4";110,053249449462;"Универмаг";NA;NA;NA;"4";47,19113;39,62402;418431,748155071;2197096,45882776;0;0;0;1;1;39
"793";"4";272,638191091138;"Смычка";NA;NA;NA;"4";47,19156;39,62271;418481,281596117;2196998,0165861;0;0;0;1;1;25
"207";"4";758,398776627741;"Детский сад";NA;NA;NA;"4";47,19256;39,61942;418596,804427802;2196750,63566404;0;0;0;1;1;3
"494";"4";174,881604545941;"пер. Урицкого";"4";NA;"8";"73, 4";47,19321;39,6294;418655,901545688;2197508,1804281;1;0;1;2;4;17
"443";"4";280,758900009431;"пер. Молодогвардейский";"4";NA;"8";"73, 4";47,19265;39,63156;418590,808496859;2197670,7867876;1;0;1;2;4;11
"489";"4";227,035214586726;"пер. Строительный";"4";NA;"8";"8, 4";47,19187;39,6362;418498,016044102;2198020,91245731;1;0;1;2;4;15
"875";"4";307,669790811806;"ул. Богачёва";"4";NA;"8";"8, 4";47,19217;39,63975;418526,731583467;2198290,51158355;1;0;1;2;4;27
"1088";"4";524,196697931376;"ул. Судостроительная";"4";NA;"12";"8, 4";47,19288;39,64438;418599,635734362;2198642,73283257;1;0;1;2;4;37
"386";"4";325,914489692941;"пер. 3-й Поселковый";"4";NA;"12";"8, 4";47,19465;39,65157;418787,090809523;2199190,95015368;1;0;1;2;4;8
"384";"4";588,097774853343;"пер. 2-й Поселковый";"4";NA;"12";"8, 4";47,19639;39,65563;418975,290237179;2199501,89805488;1;0;1;2;4;6
"459";"4";227,81989341699;"пер. Пограничный";"4";NA;"12";"8, 4";47,19944;39,66291;419305,009537021;2200059,27810507;1;0;1;2;4;13
"949";"4";507,783017909662;"ул. Коминтерна";"4";NA;"12";"8, 4";47,20056;39,66569;419425,963322147;2200272,02332056;1;0;1;2;4;33
"953";"4";92,2046194791323;"ул. Кулагина";"4";NA;"12";"8, 4";47,20266;39,67165;419651,820000834;2200727,53225395;1;0;1;2;4;35
"438";"4";368,939898453101;"пер. Кущевский";"4";NA;"8";"8, 4";47,20284;39,67284;419670,316614108;2200818,03028884;1;0;1;2;4;10
